approach,review_index,actual_stars,predicted_stars,correct,off_by_one
Hybrid (Few-Shot + CoT),55,2,1.0,False,True
Hybrid (Few-Shot + CoT),56,4,,False,False
Hybrid (Few-Shot + CoT),57,3,,False,False
Hybrid (Few-Shot + CoT),58,5,5.0,True,True
Hybrid (Few-Shot + CoT),59,3,,False,False
Hybrid (Few-Shot + CoT),60,5,,False,False
Hybrid (Few-Shot + CoT),61,3,3.0,True,True
Hybrid (Few-Shot + CoT),62,1,,False,False
Hybrid (Few-Shot + CoT),63,1,,False,False
Hybrid (Few-Shot + CoT),64,1,1.0,True,True
Hybrid (Few-Shot + CoT),65,3,,False,False
Hybrid (Few-Shot + CoT),66,2,,False,False
Hybrid (Few-Shot + CoT),67,5,,False,False
Hybrid (Few-Shot + CoT),68,3,,False,False
Hybrid (Few-Shot + CoT),69,4,,False,False
Hybrid (Few-Shot + CoT),70,2,,False,False
Hybrid (Few-Shot + CoT),71,4,,False,False
Hybrid (Few-Shot + CoT),72,5,,False,False
Hybrid (Few-Shot + CoT),73,2,,False,False
Hybrid (Few-Shot + CoT),74,3,,False,False
Hybrid (Few-Shot + CoT),75,3,,False,False
Hybrid (Few-Shot + CoT),76,1,,False,False
Hybrid (Few-Shot + CoT),77,4,,False,False
Hybrid (Few-Shot + CoT),78,3,,False,False
Hybrid (Few-Shot + CoT),79,3,,False,False
Hybrid (Few-Shot + CoT),80,1,,False,False
Hybrid (Few-Shot + CoT),81,2,,False,False
Hybrid (Few-Shot + CoT),82,2,,False,False
Hybrid (Few-Shot + CoT),83,5,,False,False
Hybrid (Few-Shot + CoT),84,5,,False,False
Hybrid (Few-Shot + CoT),85,3,,False,False
Hybrid (Few-Shot + CoT),86,5,,False,False
Hybrid (Few-Shot + CoT),87,1,,False,False
Hybrid (Few-Shot + CoT),88,5,,False,False
Hybrid (Few-Shot + CoT),89,2,,False,False
Hybrid (Few-Shot + CoT),90,1,,False,False
Hybrid (Few-Shot + CoT),91,4,,False,False
Hybrid (Few-Shot + CoT),92,3,,False,False
Hybrid (Few-Shot + CoT),93,1,,False,False
Hybrid (Few-Shot + CoT),94,1,,False,False
Hybrid (Few-Shot + CoT),95,5,,False,False
Hybrid (Few-Shot + CoT),96,4,,False,False
Hybrid (Few-Shot + CoT),97,1,,False,False
Hybrid (Few-Shot + CoT),98,1,,False,False
Hybrid (Few-Shot + CoT),99,4,,False,False
Hybrid (Few-Shot + CoT),100,1,,False,False
Hybrid (Few-Shot + CoT),101,1,,False,False
Hybrid (Few-Shot + CoT),102,4,,False,False
Hybrid (Few-Shot + CoT),103,4,,False,False
Hybrid (Few-Shot + CoT),104,3,,False,False
Hybrid (Few-Shot + CoT),105,4,,False,False
Hybrid (Few-Shot + CoT),106,1,,False,False
Hybrid (Few-Shot + CoT),107,2,,False,False
Hybrid (Few-Shot + CoT),108,3,,False,False
Hybrid (Few-Shot + CoT),109,4,,False,False
Hybrid (Few-Shot + CoT),110,5,,False,False
Hybrid (Few-Shot + CoT),111,1,,False,False
Hybrid (Few-Shot + CoT),112,5,,False,False
Hybrid (Few-Shot + CoT),113,4,,False,False
Hybrid (Few-Shot + CoT),114,2,,False,False
Hybrid (Few-Shot + CoT),115,4,,False,False
Hybrid (Few-Shot + CoT),116,2,,False,False
Hybrid (Few-Shot + CoT),117,2,,False,False
Hybrid (Few-Shot + CoT),118,5,,False,False
Hybrid (Few-Shot + CoT),119,1,,False,False
Hybrid (Few-Shot + CoT),120,2,,False,False
Hybrid (Few-Shot + CoT),121,3,,False,False
Hybrid (Few-Shot + CoT),122,4,,False,False
Hybrid (Few-Shot + CoT),123,4,,False,False
Hybrid (Few-Shot + CoT),124,1,,False,False
Hybrid (Few-Shot + CoT),125,1,,False,False
Hybrid (Few-Shot + CoT),126,5,,False,False
Hybrid (Few-Shot + CoT),127,4,,False,False
Hybrid (Few-Shot + CoT),128,3,,False,False
Hybrid (Few-Shot + CoT),129,1,,False,False
Hybrid (Few-Shot + CoT),130,5,,False,False
Hybrid (Few-Shot + CoT),131,2,,False,False
Hybrid (Few-Shot + CoT),132,3,,False,False
Hybrid (Few-Shot + CoT),133,4,,False,False
Hybrid (Few-Shot + CoT),134,2,,False,False
Hybrid (Few-Shot + CoT),135,4,,False,False
Hybrid (Few-Shot + CoT),136,1,,False,False
Hybrid (Few-Shot + CoT),137,3,,False,False
Hybrid (Few-Shot + CoT),138,2,,False,False
Hybrid (Few-Shot + CoT),139,4,,False,False
Hybrid (Few-Shot + CoT),140,5,,False,False
Hybrid (Few-Shot + CoT),141,5,,False,False
Hybrid (Few-Shot + CoT),142,5,,False,False
Hybrid (Few-Shot + CoT),143,2,,False,False
Hybrid (Few-Shot + CoT),144,3,,False,False
Hybrid (Few-Shot + CoT),145,1,,False,False
Hybrid (Few-Shot + CoT),146,1,,False,False
Hybrid (Few-Shot + CoT),147,3,,False,False
Hybrid (Few-Shot + CoT),148,3,,False,False
Hybrid (Few-Shot + CoT),149,3,,False,False
Hybrid (Few-Shot + CoT),150,5,,False,False
Hybrid (Few-Shot + CoT),151,5,,False,False
Hybrid (Few-Shot + CoT),152,3,,False,False
Hybrid (Few-Shot + CoT),153,1,,False,False
Hybrid (Few-Shot + CoT),154,1,,False,False
Hybrid (Few-Shot + CoT),155,2,,False,False
Hybrid (Few-Shot + CoT),156,5,,False,False
Hybrid (Few-Shot + CoT),157,4,,False,False
Hybrid (Few-Shot + CoT),158,1,,False,False
Hybrid (Few-Shot + CoT),159,2,,False,False
Hybrid (Few-Shot + CoT),160,5,,False,False
Hybrid (Few-Shot + CoT),161,4,,False,False
Hybrid (Few-Shot + CoT),162,5,,False,False
Hybrid (Few-Shot + CoT),163,5,,False,False
Hybrid (Few-Shot + CoT),164,2,,False,False
Hybrid (Few-Shot + CoT),165,2,,False,False
Hybrid (Few-Shot + CoT),166,3,,False,False
Hybrid (Few-Shot + CoT),167,2,,False,False
Hybrid (Few-Shot + CoT),168,5,,False,False
Hybrid (Few-Shot + CoT),169,2,,False,False
Hybrid (Few-Shot + CoT),170,2,,False,False
Hybrid (Few-Shot + CoT),171,3,,False,False
Hybrid (Few-Shot + CoT),172,1,,False,False
Hybrid (Few-Shot + CoT),173,2,,False,False
Hybrid (Few-Shot + CoT),174,5,,False,False
Hybrid (Few-Shot + CoT),175,5,,False,False
Hybrid (Few-Shot + CoT),176,4,,False,False
Hybrid (Few-Shot + CoT),177,1,,False,False
Hybrid (Few-Shot + CoT),178,4,,False,False
Hybrid (Few-Shot + CoT),179,5,,False,False
Hybrid (Few-Shot + CoT),180,1,,False,False
Hybrid (Few-Shot + CoT),181,2,,False,False
Hybrid (Few-Shot + CoT),182,4,,False,False
Hybrid (Few-Shot + CoT),183,4,,False,False
Hybrid (Few-Shot + CoT),184,4,,False,False
Hybrid (Few-Shot + CoT),185,3,,False,False
Hybrid (Few-Shot + CoT),186,3,,False,False
Hybrid (Few-Shot + CoT),187,3,,False,False
Hybrid (Few-Shot + CoT),188,3,,False,False
Hybrid (Few-Shot + CoT),189,2,,False,False
Hybrid (Few-Shot + CoT),190,4,,False,False
Hybrid (Few-Shot + CoT),191,5,,False,False
Hybrid (Few-Shot + CoT),192,1,,False,False
Hybrid (Few-Shot + CoT),193,5,,False,False
Hybrid (Few-Shot + CoT),194,2,,False,False
Hybrid (Few-Shot + CoT),195,3,,False,False
Hybrid (Few-Shot + CoT),196,1,,False,False
Hybrid (Few-Shot + CoT),197,3,,False,False
Hybrid (Few-Shot + CoT),198,5,,False,False
Hybrid (Few-Shot + CoT),199,3,,False,False
